local global safety sl gl sg
596 596 592 ff ff ff
597 597 593 ff ff ff
596 596 592 tf ff tf
597 597 10643 tf ff tf
596 596 592 tt tt tt
16384 3992 3275 tT tT tt
595 595 591 ff ff ff
595 595 591 tf ff tf
653 435 591 tt tt tt
595 595 591 ff ff ff
596 596 592 ff ff ff
595 595 591 tf ff tf
596 596 3479 tf ff tf
595 595 591 tt tt tt
16384 3096 2332 tT tT tt
1012 717 662 tt tt tt
16384 16384 16384 MT MT MM
596 596 592 tt tt tt
672 596 592 tt tt tt
742 596 592 tt ft tf
1436 596 645 tt ft tf
1638 800 786 tt tt tt
597 589 593 tt tt tt
16384 16384 16384 MT MT MM
16384 16384 16384 MT MT MM
595 595 591 tt tt tt
587 595 591 tt tt tt
702 587 591 tt tt tt
595 595 591 tt tt tt
16384 1242 1770 tT fT tf
889 595 623 tt ft tf
596 596 592 tt tt tt
596 588 592 tt tt tt
596 597 592 tt tt tt
597 597 593 tt tt tt
575 575 571 tf ff tf
567 575 571 tf ff tf
576 576 1382 tf ff tf
464 472 468 tt tt tt
16384 3120 3099 tT tT tt
16384 11145 9805 tT tT tt
2422 1265 1027 tt tt tt
463 471 467 tt tt tt
471 471 467 tt ft tf
471 471 467 tf ff tf
471 471 467 tt ft tf
471 471 467 tf ff tf
601 601 596 tt tt tt
16384 16384 16384 MT TT MT
16384 16384 16384 MT TT MT
575 567 571 tf ff tf
566 566 570 tf ff tf
575 575 571 tt tt tt
575 575 571 tf ff tf
575 575 571 tt tt tt
575 575 571 tf ff tf
575 575 571 tt tt tt
576 567 630 tf ff tf
576 576 572 tf ff tf
