local global safety sl gl sg
22 16 69 ff ff ff
1991 153 1117 ff ff ff
65 30 1242 tf ff tf
2237 131 2019080 tf ff tf
977 647 429 tt tt tt
3200000 815476 642740 tT tT tt
1872 142 30 ff ff ff
1334 53 6615 tf ff tf
31311 13768 9626 tt tt tt
14 11 25 ff ff ff
1875 53 772 ff ff ff
65 30 802 tf ff tf
2237 36 553114 tf ff tf
1264 705 471 tt tt tt
3200000 577542 403385 tT tT tt
111386 42106 27435 tt tt tt
3200000 3200000 3200000 MT MT MM
8729 2286 1926 tt tt tt
56164 14037 8460 tt tt tt
80990 5987 17047 tt ft tf
378378 14933 43231 tt ft tf
447893 108211 99690 tt tt tt
12819 3278 2946 tt tt tt
3200000 3200000 3200000 MT MT MM
3200000 3200000 3200000 MT MT MM
14696 4709 4709 tt tt tt
1499 495 495 tt tt tt
65383 17424 17424 tt tt tt
3894 1057 1057 tt tt tt
3200000 264856 492118 tT fT tf
129108 17463 32967 tt ft tf
98 57 57 tt tt tt
12748 4199 4199 tt tt tt
97 56 56 tt tt tt
12751 4202 4202 tt tt tt
61 40 72 tf ff tf
121 61 97 tf ff tf
231 134 212840 tf ff tf
755 423 425 tt tt tt
3200000 847135 842951 tT tT tt
3200000 2701191 2357841 tT tT tt
473711 187543 124175 tt tt tt
414 276 276 tt tt tt
12069 9027 9491 tt ft tf
156 76 2966 tf ff tf
12069 9027 9491 tt ft tf
156 76 2966 tf ff tf
2288 2055 2055 tt tt tt
3200000 3200000 3200000 MT TT MT
3200000 3200000 3200000 MT TT MT
19 14 60 tf ff tf
4 2 2 tf ff tf
92 51 51 tt tt tt
33 21 86 tf ff tf
158 158 79 tt tt tt
26 20 32 tf ff tf
10128 3330 2753 tt tt tt
506 60 37730 tf ff tf
114 37 3630 tf ff tf
